street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
84 Division St,7201,Elizabeth,NJ,Union,40.65994,-74.200358,MultiFamily2To4,2015,182437,1922,5956,1500,2,3,10/28/16,150000,31388,city,Elizabeth
59 Pershing Ave,7202,Elizabeth,NJ,Union,40.657704,-74.232681,SingleFamily,2015,236185,NA,3484,NA,3,3,9/12/16,265000,31388,city,Elizabeth
598 Summer St,7202,Elizabeth,NJ,Union,40.649885,-74.211022,SingleFamily,2015,171082,1950,2613,950,1,3,12/30/16,160000,31388,city,Elizabeth
1348 Fremont Pl,7208,Elizabeth,NJ,Union,40.687573,-74.210527,MultiFamily2To4,2015,323240,NA,NA,NA,1,3,11/13/16,1400,31388,city,Elizabeth
40 Dehart Pl,7202,Elizabeth,NJ,Union,40.660742,-74.224944,SingleFamily,2015,250568,1902,2949,NA,NA,NA,8/22/16,175000,31388,city,Elizabeth
1029 Bond St,7201,Elizabeth,NJ,Union,40.668355,-74.204814,SingleFamily,2015,110522,NA,2875,NA,NA,NA,8/23/16,55500,31388,city,Elizabeth
470 Monroe Ave,7201,Elizabeth,NJ,Union,40.67082,-74.207087,MultiFamily2To4,2015,283876,1940,4356,3520,1,2,2/15/17,1200,31388,city,Elizabeth
614 Grier Ave,7202,Elizabeth,NJ,Union,40.649847,-74.217909,MultiFamily2To4,2015,202876,1913,2701,9999,3,6,11/17/16,270000,31388,city,Elizabeth
125 Berwick St,7202,Elizabeth,NJ,Union,40.6604,-74.2347,SingleFamily,2015,235428,NA,3484,NA,2,3,12/7/16,275000,31388,city,Elizabeth
11 Melrose Ter,7208,Elizabeth,NJ,Union,40.672207,-74.2288,SingleFamily,2015,249811,1940,7405,NA,2,3,3/30/17,280000,31388,city,Elizabeth
646 Park Ave,7208,Elizabeth,NJ,Union,40.666226,-74.236461,SingleFamily,2015,256624,NA,5275,NA,NA,NA,9/1/16,350000,31388,city,Elizabeth
350 Cherry St,7208,ELIZABETH,NJ,Union,40.669092,-74.222849,SingleFamily,2015,208932,NA,3825,NA,2,3,4/13/17,417000,31388,city,Elizabeth
534 Pennington St,7202,Elizabeth,NJ,Union,40.662693,-74.232765,MultiFamily2To4,2015,317184,1945,NA,NA,3,5,3/27/17,225000,31388,city,Elizabeth
408 Jackson Ave,7201,Elizabeth,NJ,Union,40.668889,-74.208747,SingleFamily,2015,118849,1890,1947,NA,NA,NA,2/14/17,70000,31388,city,Elizabeth
1017 Kilsyth Rd,7208,Elizabeth,NJ,Union,40.68693,-74.208594,SingleFamily,2015,404996,NA,4273,NA,NA,NA,10/17/16,231000,31388,city,Elizabeth
312 Roger Ave,7090,Westfield,NJ,Union,40.64071,-74.31857,SingleFamily,2015,508151,1956,12196,NA,3,4,4/7/17,605000,27896,city,Westfield
18 Fairview Ave,7974,New Providence,NJ,Union,40.696068,-74.417977,SingleFamily,2015,361869,1921,13068,NA,2,2,4/7/17,412500,46727,city,New Providence
1024 Bergen Ave,7036,Linden,NJ,Union,40.641242,-74.243278,SingleFamily,2015,195386,1956,3920,17,1,4,4/7/17,155000,36718,city,Linden
26 Henshaw Ave,7081,Springfield,NJ,Union,40.705045,-74.318517,SingleFamily,2015,299643,NA,7501,NA,NA,NA,4/7/17,425000,41030,city,Springfield
1409 Outlook Dr,7092,Mountainside,NJ,Union,40.678604,-74.37175,SingleFamily,2015,907726,1968,20037,2581,3,4,4/7/17,590000,39910,city,Mountainside
710 Spruce St,7203,Roselle,NJ,Union,40.652865,-74.255897,SingleFamily,2015,154462,1918,3049,1280,2,3,4/7/17,227000,13593,city,Roselle
2179 Tyler St,7083,Union,NJ,Union,40.705439,-74.268424,SingleFamily,2015,282519,1941,5662,NA,2,4,4/6/17,280000,20883,city,Union
71 Old Farm Rd,7922,Berkeley Heights,NJ,Union,40.664284,-74.443813,SingleFamily,2015,440029,1950,43560,NA,2,3,4/6/17,1350000,28407,city,Berkeley Heights
1919 Sunset Pl,7076,Scotch Plains,NJ,Union,40.654194,-74.401727,SingleFamily,2015,305534,1953,7840,1600,2,4,4/6/17,230000,20391,city,Scotch Plains
164 Princeton Ave,7922,Berkeley Heights,NJ,Union,40.670595,-74.446063,SingleFamily,2015,646558,1975,19994,2124,3,4,4/6/17,755000,28407,city,Berkeley Heights
810 W End Pl,7016,Cranford,NJ,Union,40.663779,-74.309367,SingleFamily,2015,725720,1967,10018,NA,3,4,4/6/17,475000,31092,city,Cranford
125 Hillcrest Ter,7203,Roselle,NJ,Union,40.645538,-74.258956,SingleFamily,2015,234128,1920,3749,1326,1,3,4/5/17,120000,13593,city,Roselle
389 Snyder Ave,7922,Berkeley Heights,NJ,Union,40.678652,-74.43099,SingleFamily,2015,575053,1967,14810,NA,3,4,4/5/17,730000,28407,city,Berkeley Heights
1796 Newton St,7065,Rahway,NJ,Union,40.613537,-74.276314,SingleFamily,2015,219381,1880,7405,1727,2,3,4/5/17,238000,8854,city,Rahway
1500 Bower St,7036,Linden,NJ,Union,40.643163,-74.256003,SingleFamily,2015,299379,1960,5998,2145,NA,NA,4/5/17,280000,36718,city,Linden
1451 Compton Ter,7205,Hillside,NJ,Union,40.70118,-74.223976,SingleFamily,2015,175830,1929,3484,1454,2,3,4/4/17,255000,55745,city,Hillside
237 N 8TH St,7033,KENILWORTH,NJ,Union,40.680129,-74.303689,MultiFamily2To4,2015,435852,1988,4356,NA,3,6,4/4/17,430000,18815,city,Kenilworth
428 Watchung Ave,7060,North Plainfield,NJ,Union,40.630178,-74.439643,SingleFamily,2015,246800,1924,9649,1432,NA,NA,4/4/17,140000,46805,city,North Plainfield
2 Silver Lake Dr,7901,Summit,NJ,Union,40.701457,-74.374746,SingleFamily,2016,1366096,1940,13503,5800,4,4,4/4/17,1414000,27319,city,Summit
